id,category,question,gold,gen_small,correct_small,gen_large,correct_large
cap_au,capital,What is the capital city of Australia?,Canberra,Canberra,1,Canberra,1
cap_ca,capital,What is the capital city of Canada?,Ottawa,Ottawa,1,Ottawa,1
cap_tr,capital,What is the capital city of Turkey?,Ankara,Ankara,1,Ankara,1
cap_kz,capital,What is the capital city of Kazakhstan?,Astana | Nur-Sultan | Nur Sultan,Astana,1,Astana,1
cap_mm,capital,What is the capital city of Myanmar?,Naypyidaw | Naypyitaw | Nay Pyi Taw,Naypyidaw,1,Naypyidaw,1
cap_bz,capital,What is the capital city of Brazil?,Brasilia | Brasília,Brasília,1,Brasília,1
cap_ng,capital,What is the capital city of Nigeria?,Abuja,Lagos,0,Abuja,1
cap_ch,capital,What is the capital city of Switzerland?,Bern | Berne,Bern,1,Bern,1
cap_nz,capital,What is the capital city of New Zealand?,Wellington,Auckland,0,Wellington,1
cap_za,capital,What is the executive capital of South Africa?,Pretoria,Pretoria,1,Pretoria,1
cap_bt,capital,What is the capital city of Bhutan?,Thimphu,Thimphu,1,Thimphu,1
cap_mn,capital,What is the capital city of Mongolia?,Ulaanbaatar | Ulan Bator,Ulaanbaatar,1,Ulaanbaatar,1
cap_lk,capital,What is the commercial capital and largest city of Sri Lanka?,Colombo,Colombo,1,Colombo,1
cap_ma,capital,What is the capital city of Morocco?,Rabat,Rabat,1,Rabat,1
cap_ec,capital,What is the capital city of Ecuador?,Quito,Quito,1,Quito,1
us_ny,us_capital,What is the capital of the U.S. state of New York?,Albany,Albany,1,Albany,1
us_ca,us_capital,What is the capital of the U.S. state of California?,Sacramento,Sacramento,1,Sacramento,1
us_il,us_capital,What is the capital of the U.S. state of Illinois?,Springfield,Springfield,1,Springfield,1
us_wa,us_capital,What is the capital of the U.S. state of Washington?,Olympia,Olympia,1,Olympia,1
us_pa,us_capital,What is the capital of the U.S. state of Pennsylvania?,Harrisburg,Harrisburg,1,Harrisburg,1
us_mo,us_capital,What is the capital of the U.S. state of Missouri?,Jefferson City,Jefferson,0,Jefferson City,1
us_or,us_capital,What is the capital of the U.S. state of Oregon?,Salem,Salem,1,Salem,1
sci_au,science,What is the chemical symbol for gold?,Au,Au,1,Au,1
sci_w,science,What is the chemical symbol for tungsten?,W,W,1,W,1
sci_pb,science,What is the chemical symbol for lead?,Pb,Pb,1,Pb,1
sci_k,science,What is the chemical symbol for potassium?,K,K,1,K,1
sci_na,science,What is the chemical symbol for sodium?,Na,Na,1,Na,1
sci_bone,science,What is the smallest bone in the human body?,stapes | stirrup,Stapes,1,Stapes,1
sci_planet,science,Which planet in our solar system has the most moons as of 2024?,Saturn,Pluto,0,Jupiter,0
