id,category,question,gold,gen_small,correct_small,gen_large,correct_large
cap_au,capital,What is the capital city of Australia?,Canberra,Canberra,1,Canberra,1
cap_ca,capital,What is the capital city of Canada?,Ottawa,Toronto,0,Ottawa,1
cap_tr,capital,What is the capital city of Turkey?,Ankara,Ankara,1,Ankara,1
cap_kz,capital,What is the capital city of Kazakhstan?,Astana | Nur-Sultan | Nur Sultan,Almaty,0,Nur-Sultan,1
cap_mm,capital,What is the capital city of Myanmar?,Naypyidaw | Naypyitaw | Nay Pyi Taw,Yangon (formerly Mandalay),0,Yangon,0
cap_bz,capital,What is the capital city of Brazil?,Brasilia | Brasília,Brasília,1,Brasília,1
cap_ng,capital,What is the capital city of Nigeria?,Abuja,Ibadan,0,Abuja,1
cap_ch,capital,What is the capital city of Switzerland?,Bern | Berne,Bern,1,Bern,1
cap_nz,capital,What is the capital city of New Zealand?,Wellington,Wellington,1,Wellington,1
cap_za,capital,What is the executive capital of South Africa?,Pretoria,Bank of South Africa,0,Pretoria,1
cap_bt,capital,What is the capital city of Bhutan?,Thimphu,Thimphu,1,Thimphu,1
cap_mn,capital,What is the capital city of Mongolia?,Ulaanbaatar | Ulan Bator,Ulaanbaatar,1,Ulaanbaatar,1
cap_lk,capital,What is the commercial capital and largest city of Sri Lanka?,Colombo,Colombo,1,Colombo,1
cap_ma,capital,What is the capital city of Morocco?,Rabat,Marrakesh,0,Rabat,1
cap_ec,capital,What is the capital city of Ecuador?,Quito,Quito,1,Quito,1
us_ny,us_capital,What is the capital of the U.S. state of New York?,Albany,New York City,0,Albany,1
us_ca,us_capital,What is the capital of the U.S. state of California?,Sacramento,Sacramento,1,Sacramento,1
us_il,us_capital,What is the capital of the U.S. state of Illinois?,Springfield,Springfield,1,Springfield,1
us_wa,us_capital,What is the capital of the U.S. state of Washington?,Olympia,Seattle,0,Olympia,1
us_pa,us_capital,What is the capital of the U.S. state of Pennsylvania?,Harrisburg,Philadelphia,0,Harrisburg,1
us_mo,us_capital,What is the capital of the U.S. state of Missouri?,Jefferson City,Jefferson City,1,Jefferson City,1
us_or,us_capital,What is the capital of the U.S. state of Oregon?,Salem,Salem,1,Salem,1
sci_au,science,What is the chemical symbol for gold?,Au,Au,1,Au,1
sci_w,science,What is the chemical symbol for tungsten?,W,Wt,0,W,1
sci_pb,science,What is the chemical symbol for lead?,Pb,Pb,1,Pb,1
sci_k,science,What is the chemical symbol for potassium?,K,K,1,K,1
sci_na,science,What is the chemical symbol for sodium?,Na,Na,1,Na,1
sci_bone,science,What is the smallest bone in the human body?,stapes | stirrup,Minx,0,The stapes,1
sci_planet,science,Which planet in our solar system has the most moons as of 2024?,Saturn,Jupiter,0,Jupiter,0
sci_speed,science,"What is the speed of light in vacuum in kilometers per second, rounded to the nearest thousand?","300000 | 300,000 | 299792 | 299,792","300,000 km/s",1,299792,1
sci_atomic,science,What is the atomic number of carbon?,6 | six,6,1,6,1
sci_blood,science,What protein in red blood cells carries oxygen?,hemoglobin | haemoglobin,Oxygen-carrying protein in red blood cells is called hemoglobin.,1,Hemoglobin,1
sci_dna,science,"Which scientist is credited, with Francis Crick, for the 1953 double-helix model of DNA?",Watson | James Watson,James Watson,1,James Watson,1
sci_element79,science,Which chemical element has atomic number 79?,gold,Plutonium,0,Au,0
sci_hardest,science,What is the hardest known naturally occurring material?,diamond,Diamond,1,diamond,1
his_ww2,history,In what year did World War II end?,1945,1945,1,1945,1
his_berlin,history,In what year did the Berlin Wall fall?,1989,1989,1,1989,1
his_moon,history,In what year did humans first land on the Moon?,1969,1969,1,1969,1
his_magna,history,In what year was the Magna Carta sealed?,1215,1215,1,1215,1
his_french,history,In what year did the French Revolution begin?,1789,1789,1,1789,1
